order_id,gender_category,product_line,product_name,size,units_sold,mrp,discount_applied,revenue,order_date,sales_channel,region,profit,month
2000,Kids,Training,SuperRep Go,M,0.0,6110.030000000001,0.47,0.0,2024-03-09,Online,bengaluru,-770.45,3.0
2001,Women,Soccer,Tiempo Legend,M,3.0,4957.93,0.0,14873.79,2024-07-09,Retail,hyd,-112.53,7.0
2002,Women,Soccer,Premier III,M,4.0,6110.030000000001,0.0,24440.120000000003,,Retail,mumbai,3337.34,
2003,Kids,Lifestyle,Blazer Mid,L,0.0,9673.57,0.0,0.0,,Online,pune,3376.85,
2004,Kids,Running,React Infinity,XL,0.0,6110.030000000001,0.0,0.0,,Retail,delhi,187.89,
2005,Women,Training,Flex Trainer,M,1.0,7363.96,0.0,7363.96,,Retail,delhi,1415.98,
2006,Men,Training,SuperRep Go,M,0.0,6819.78,0.0,0.0,,Online,bangalore,1802.09,
2007,Kids,Training,SuperRep Go,M,1.0,6110.030000000001,0.32,6090.477904000001,,Retail,bangalore,2928.36,
2009,Men,Soccer,Mercurial Superfly,M,4.0,6110.030000000001,0.0,24440.120000000003,,Online,pune,3929.61,
2010,Kids,Lifestyle,Waffle One,L,1.0,7949.83,0.0,7949.83,,Online,pune,1965.56,
2013,Kids,Training,SuperRep Go,,0.0,9671.05,0.0,0.0,,Online,hyderbad,299.34,
2014,Women,Running,React Infinity,11,0.0,6110.030000000001,0.0,0.0,2025-04-12,Online,bangalore,-1044.4,4.0
2015,Kids,Basketball,Air Jordan,,0.0,3285.52,0.0,0.0,,Retail,kolkata,1193.21,
2016,Women,Basketball,Air Jordan,M,1.0,9871.75,0.3,9842.13475,,Retail,hyderbad,2452.69,
2017,Women,Basketball,Air Jordan,9,4.0,6110.030000000001,0.0,24440.120000000003,,Retail,delhi,1946.24,
2018,Men,Training,Metcon 7,XL,0.0,6110.030000000001,1.17,0.0,,Online,bengaluru,-966.89,
2019,Kids,Running,Air Zoom,6,0.0,3424.06,0.32,0.0,,Online,hyderabad,1915.24,
2022,Women,Soccer,Premier III,M,0.0,6110.030000000001,0.0,0.0,,Online,pune,3427.16,
2023,Men,Lifestyle,Waffle One,M,0.0,5003.95,0.0,0.0,,Online,mumbai,1498.37,
2024,Kids,Training,SuperRep Go,XL,0.0,6110.030000000001,0.5,0.0,,Retail,bangalore,1842.35,
2025,Women,Basketball,Kyrie Flytrap,M,3.0,9820.5,0.0,29461.5,,Retail,mumbai,1900.15,
2026,Kids,Lifestyle,Blazer Mid,XL,1.0,6110.030000000001,0.16,6100.253952,2024-08-10,Retail,kolkata,2301.64,8.0
2027,Men,Basketball,Zoom Freak,XL,0.0,6110.030000000001,0.22,0.0,,Online,pune,-138.74,
2028,Men,Training,Flex Trainer,12,0.0,3270.23,0.0,0.0,,Retail,delhi,-946.86,
2029,Men,Training,ZoomX Invincible,12,0.0,6110.030000000001,0.0,0.0,2023-10-28,Online,bangalore,-185.67,10.0
2030,Men,Soccer,Phantom GT,XL,0.0,6110.030000000001,1.05,0.0,,Retail,hyd,-122.93,
2031,Men,Soccer,Premier III,,4.0,3493.04,0.82,13857.588288,2024-05-09,Online,delhi,350.7,5.0
2032,Women,Lifestyle,Blazer Mid,XL,1.0,6110.030000000001,1.07,6044.652679000001,,Retail,mumbai,-555.16,
2034,Men,Basketball,Air Jordan,6,0.0,6235.71,0.0,0.0,,Retail,delhi,-267.37,
2035,Kids,Basketball,Zoom Freak,,4.0,6110.030000000001,0.38,24347.247544,,Online,bangalore,2914.83,
2036,Men,Training,Metcon 7,,3.0,6110.030000000001,0.0,18330.090000000004,,Retail,bangalore,-143.8,
2037,Kids,Running,Pegasus Turbo,7,3.0,5653.14,1.01,16788.129858,,Retail,pune,2776.96,
2038,Kids,Running,Free RN,,0.0,6110.030000000001,0.83,0.0,,Online,delhi,1163.21,
2039,Women,Training,Flex Trainer,M,0.0,2767.7,0.63,0.0,,Retail,hyderbad,-336.3,
2002,Women,Basketball,Zoom Freak,XL,3.0,5075.22,0.0,15225.66,,Retail,delhi,145.08,
2041,Kids,Soccer,Tiempo Legend,12,0.0,5553.88,0.0,0.0,,Online,hyd,2371.66,
2042,Women,Basketball,Kyrie Flytrap,L,0.0,6110.030000000001,0.0,0.0,,Online,hyderbad,-862.16,
2043,Men,Soccer,Premier III,XL,0.0,3492.89,0.77,0.0,2024-05-02,Retail,delhi,3770.75,5.0
2044,Kids,Training,SuperRep Go,,0.0,6110.030000000001,0.0,0.0,2023-09-06,Online,delhi,2174.71,9.0
2045,Kids,Lifestyle,Dunk Low,XL,4.0,6110.030000000001,0.0,24440.120000000003,2025-04-06,Retail,delhi,1833.94,4.0
2046,Kids,Running,Air Zoom,12,0.0,6110.030000000001,1.04,0.0,,Online,kolkata,1284.33,
2047,Women,Training,SuperRep Go,10,1.0,8577.75,0.0,8577.75,2024-06-13,Retail,bangalore,2888.68,6.0
2048,Women,Basketball,Air Jordan,XL,0.0,6110.030000000001,0.0,0.0,,Online,bangalore,2875.86,
2049,Kids,Soccer,Tiempo Legend,L,1.0,7767.2,0.0,7767.2,,Retail,pune,311.48,
2050,Men,Running,Air Zoom,L,1.0,6110.030000000001,0.57,6075.202829000001,,Retail,kolkata,682.12,
2051,Women,Basketball,Air Jordan,XL,0.0,6110.030000000001,0.37,0.0,2024-01-05,Retail,delhi,3135.98,1.0
2052,Men,Training,Flex Trainer,10,3.0,9155.96,0.0,27467.879999999997,2024-10-08,Retail,pune,2184.8,10.0
2053,Men,Lifestyle,Air Force 1,XL,3.0,6009.58,0.0,18028.739999999998,,Online,delhi,3384.92,
2055,Men,Basketball,Kyrie Flytrap,L,0.0,6110.030000000001,0.0,0.0,,Online,hyderbad,-1078.76,
2056,Men,Running,React Infinity,L,3.0,6110.030000000001,0.0,18330.090000000004,2024-05-31,Retail,bangalore,-244.44,5.0
2048,Men,Lifestyle,Waffle One,M,3.0,6216.29,0.94,18473.570622,,Online,mumbai,-642.02,
2058,Women,Training,Flex Trainer,11,0.0,4985.92,0.0,0.0,,Online,kolkata,361.54,
2060,Men,Lifestyle,Waffle One,L,2.0,7979.26,0.0,15958.52,2024-07-11,Online,bengaluru,2821.59,7.0
2061,Women,Basketball,LeBron 20,L,0.0,6110.030000000001,0.0,0.0,,Online,mumbai,-501.68,
2062,Men,Basketball,Air Jordan,,2.0,6110.030000000001,0.0,12220.060000000001,,Online,bangalore,1823.91,
2063,Women,Basketball,Air Jordan,M,1.0,9751.0,0.16,9735.3984,,Retail,pune,1130.31,
2064,Kids,Running,React Infinity,L,2.0,7557.71,0.0,15115.42,,Online,bangalore,3277.44,
2065,Women,Lifestyle,Waffle One,10,0.0,6110.030000000001,0.78,0.0,2024-02-11,Retail,hyd,21.58,2.0
2067,Kids,Basketball,LeBron 20,L,4.0,3588.38,0.0,14353.52,,Online,kolkata,161.5,
2068,Men,Running,Free RN,,4.0,2553.29,0.0,10213.16,,Retail,mumbai,984.9,
2069,Women,Training,SuperRep Go,,0.0,7502.24,0.0,0.0,2025-07-14,Online,pune,3554.58,7.0
2070,Kids,Running,React Infinity,L,0.0,6110.030000000001,0.0,0.0,,Retail,mumbai,1112.43,
2071,Kids,Lifestyle,Blazer Mid,M,3.0,7849.81,0.49,23434.037793,,Retail,pune,-882.96,
2072,Men,Training,Flex Trainer,,3.0,6110.030000000001,0.0,18330.090000000004,,Retail,pune,3639.2,
2073,Women,Lifestyle,Blazer Mid,12,4.0,6110.030000000001,0.85,24232.378980000005,,Online,hyd,443.86,
2075,Kids,Basketball,Air Jordan,L,4.0,4251.74,0.0,17006.96,,Online,pune,2345.35,
2076,Women,Training,ZoomX Invincible,11,0.0,6110.030000000001,0.0,0.0,,Retail,bengaluru,2011.25,
2077,Men,Training,ZoomX Invincible,L,0.0,6110.030000000001,0.0,0.0,2023-11-21,Online,pune,3332.66,11.0
2078,Women,Basketball,LeBron 20,,0.0,6970.47,0.0,0.0,,Online,mumbai,262.79,
2080,Men,Lifestyle,Blazer Mid,L,0.0,6110.030000000001,0.0,0.0,2025-03-31,Online,bangalore,-1005.89,3.0
2081,Men,Training,ZoomX Invincible,L,0.0,6110.030000000001,0.0,0.0,,Online,mumbai,2810.49,
2083,Men,Running,Free RN,,0.0,9291.74,0.0,0.0,,Retail,delhi,-981.21,
2084,Men,Training,Metcon 7,M,2.0,6110.030000000001,0.0,12220.060000000001,2023-12-24,Online,mumbai,408.39,12.0
2085,Men,Basketball,Kyrie Flytrap,,0.0,7561.85,0.0,0.0,,Retail,kolkata,98.72,
2086,Men,Soccer,Mercurial Superfly,L,0.0,6110.030000000001,0.45,0.0,2024-10-11,Online,kolkata,1742.66,10.0
